50,80,34,0,0,0
47,71,0,0,0,0
58,90,54,0.79,16,10
43,62,68,0.38,22,3
58,77,77,0.37,21,2
49,79,63,0.25,14,1
40,58,64,0.27,17,2
41,64,62,0.29,20,1
49,70,71,0.35,20,1
55,80,69,0.42,20,1
63,88,68,0.67,24,3
78,116,54,0.57,23,2
54,82,0,0,0,0
34,52,34,0.19,12,2
39,44,37,0.18,8,1
39,46,33,0.11,5,1
28,33,39,0.09,3,1
30,31,44,0.14,4,0
25,39,45,0.14,4,1
29,37,41,0.16,6,0
26,37,38,0.13,6,1
25,39,21,0.41,24,1
32,44,9,0.54,30,2
35,55,17,0.43,25,2
35,61,23,0.44,29,2
43,65,37,0.35,27,3
45,78,54,0.32,19,1
44,74,68,0.3,19,1
42,64,76,0.17,16,1
33,61,81,0.21,18,1
35,60,76,0.25,21,1
31,54,69,0.38,27,1
33,61,58,0.41,37,1
38,67,34,0.69,60,1
43,75,63,0.27,19,2
35,60,74,0.19,9,2
40,56,61,0.15,11,3
32,50,0,0,0,0
25,42,42,0.11,8,3
25,45,40,0.11,6,4
34,44,38,0.13,5,2
26,43,25,0.11,20,5
24,45,26,0.11,17,4
27,35,27,0.16,14,3
25,37,23,0.16,16,1
30,38,25,0.16,13,1
28,35,29,0.15,9,1
30,40,37,0.15,9,1
25,37,51,0.2,9,2
28,43,60,0.23,12,2
39,60,61,0.22,17,2
46,61,75,0.17,12,1
37,59,64,0.14,13,3
31,50,74,0.16,7,2
29,44,76,0.14,2,1
30,45,76,0.13,3,0
30,45,66,0.12,7,1
35,46,57,0.13,3,1
32,43,58,0.18,5,1
32,42,51,0.13,4,2
26,35,49,0.16,7,4
28,36,49,0.12,4,3
28,38,0,0,0,0
25,36,51,0.08,2,1
26,29,47,0.11,3,1
22,29,45,0.18,5,2
22,29,41,0.14,10,3
25,32,35,0.15,16,1
29,37,16,0.39,31,2
46,47,11,0.57,40,2
30,57,12,0.72,40,2
35,67,22,0.52,35,2
36,60,43,0.25,19,3
22,42,50,0.07,4,1
23,26,47,0.05,10,1
20,23,56,0.06,5,1
23,27,55,0.11,18,6
29,39,66,0.1,5,1
23,30,62,0.1,6,2
26,29,55,0.06,3,1
24,30,48,0.03,3,1
23,29,44,0.03,3,1
21,22,42,0.05,2,1
12,23,40,0.09,5,0
15,25,43,0.06,2,0
23,25,41,0.04,1,0
19,27,42,0.01,0,0
20,24,0,0,0,0
16,25,41,0,0,1
12,22,41,0.01,2,2
13,21,41,0.03,2,1
17,23,37,0.03,4,0
19,29,32,0.14,11,0
19,32,35,0.11,9,0
23,31,40,0.07,5,1
14,29,42,0.06,4,1
20,34,43,0.05,7,1
22,31,45,0.04,7,1
27,33,45,0.03,8,1
27,32,46,0.02,7,1
23,26,50,0.05,3,1
21,25,54,0.06,2,2
24,32,54,0.07,3,2
25,36,49,0.07,7,1
27,35,51,0.08,4,1
26,37,44,0.1,9,2
24,36,48,0.11,3,1
18,31,43,0.11,7,1
22,31,44,0.07,6,1
25,30,45,0.03,1,0
23,28,44,0.02,0,0
19,34,43,0.02,0,0
21,27,0,0,0,0
16,29,44,0.06,2,1
16,29,42,0.08,4,0
16,30,38,0.09,7,0
20,31,37,0.07,7,1
20,30,35,0.11,8,1
22,34,30,0.28,15,1
25,38,36,0.21,12,1
23,37,44,0.14,10,1
26,36,54,0.07,2,0
23,36,54,0.07,3,1
29,35,54,0.07,6,1
25,39,57,0.1,6,1
25,37,63,0.1,1,1
